Topic,Language1,Language2,TopicSimilarity,GlobalSimilarity,Difference,mean,std,z_score,OutlierType
music,de,da,0.700,0.487,0.213,-0.004,0.089,2.417,Positive
music,it,PT-PT,0.745,0.523,0.222,-0.003,0.094,2.390,Positive
music,en,ro,0.650,0.426,0.223,-0.007,0.096,2.386,Positive
music,it,es,0.765,0.537,0.227,-0.007,0.099,2.382,Positive
music,nl,da,0.692,0.479,0.213,-0.003,0.091,2.379,Positive
music,es,ro,0.673,0.463,0.211,-0.008,0.092,2.368,Positive
shapes,es,fr,0.648,0.468,0.180,-0.004,0.078,2.356,Positive
music,en,da,0.709,0.457,0.252,-0.002,0.110,2.312,Positive
music,en,de,0.681,0.447,0.234,-0.005,0.104,2.295,Positive
music,PT-PT,ro,0.655,0.451,0.205,-0.005,0.092,2.277,Positive
music,en,nl,0.715,0.490,0.225,-0.005,0.105,2.195,Positive
computer,nl,it,0.536,0.337,0.199,-0.006,0.094,2.179,Positive
shapes,ro,fr,0.641,0.471,0.169,-0.006,0.080,2.174,Positive
music,es,PT-PT,0.816,0.633,0.183,0.003,0.083,2.172,Positive
shapes,it,ro,0.680,0.486,0.193,-0.007,0.093,2.150,Positive
shapes,it,fr,0.633,0.476,0.157,-0.006,0.077,2.116,Positive
computer,en,nl,0.705,0.490,0.215,-0.005,0.105,2.098,Positive
shapes,en,PT-PT,0.552,0.378,0.174,-0.003,0.085,2.084,Positive
colors,nl,fr,0.533,0.352,0.181,-0.003,0.089,2.058,Positive
shapes,da,NB,0.889,0.772,0.116,0.002,0.056,2.049,Positive
body,en,pl,0.128,0.323,-0.195,-0.007,0.094,-2.006,Negative
