OutlierType,LangPair,SourceWord
Negative,"('da', 'nl')","['rest', 'key', 'sempre']"
Negative,"('de', 'en')",['flat']
Negative,"('de', 'nl')","['major', 'phrase', 'flat', 'slur', 'ledger line']"
Negative,"('en', 'fr')","['stem', 'play', 'sharp', 'key', 'half step', 'treble']"
Negative,"('en', 'nl')","['tie', 'time signature', 'phrase', 'major', 'file', 'encrypt', 'queue', 'data', 'drag', 'folder', 'floppy disk', 'window', 'trash', 'ledger line', 'notes', 'pitch']"
Negative,"('es', 'fr')","['rhombus', 'heart', 'sphere', 'kite', 'crescent', 'major', 'sharp', 'stave', 'beat']"
Negative,"('es', 'it')","['kite', 'plane', 'slur', 'play', 'square', 'lozenge', 'stave', 'heart', 'major', 'time signature', 'quarter note', 'melodic minor', 'bean', 'seedling', 'hardy', 'wood', 'nut', 'indigo', 'periwinkle', 'puce', 'ornament', 'triplets', 'doldrums', 'downburst', 'sleet', 'muggy', 'fall', 'frost', 'squall', 'lightning', 'current', 'watch']"
Negative,"('es', 'ro')","['orb', 'heart', 'wedge', 'lozenge', 'beat', 'treble', 'rest', 'major', 'square']"
Negative,"('fr', 'it')","['play', 'quaver', 'crescent', 'lozenge', 'rhombus', 'big toe', 'toe', 'spleen', 'buttocks', 'cheek', 'fibula', 'square', 'taupe', 'puce', 'wheat', 'pewter', 'purple', 'sixteenth note', 'kite', 'sempre', 'flag', 'thirtysecond note']"
Negative,"('fr', 'ro')","['heart', 'orb', 'kite', 'rest', 'quaver', 'treble', 'flag', 'stave', 'lozenge', 'rhombus', 'square', 'star', 'whole rest']"
Negative,"('it', 'ro')","['heart', 'orb', 'kite', 'rest', 'treble', 'whole rest', 'square', 'wedge', 'plane', 'tranquillo', 'flag']"
