Topic,Language1,Language2,TopicSimilarity,GlobalSimilarity,Difference,mean,std,z_score,OutlierType
music,es,fr,0.604,0.435,0.170,-0.004,0.080,2.180,Positive
shapes,PT-PT,el,0.447,0.295,0.152,0.001,0.069,2.175,Positive
music,it,PT-PT,0.629,0.475,0.154,0.001,0.071,2.162,Positive
shapes,en,ro,0.498,0.354,0.145,-0.002,0.068,2.143,Positive
music,da,el,0.420,0.264,0.155,-0.004,0.074,2.140,Positive
music,hu,el,0.426,0.281,0.146,-0.005,0.071,2.125,Positive
body,pl,NB,0.150,0.313,-0.163,-0.002,0.076,-2.123,Negative
fruits,pl,hu,0.490,0.309,0.181,-0.007,0.089,2.108,Positive
shapes,en,es,0.445,0.322,0.124,-0.004,0.061,2.101,Positive
shapes,es,NB,0.462,0.314,0.148,-0.002,0.072,2.088,Positive
music,ro,fr,0.635,0.464,0.171,-0.004,0.084,2.088,Positive
house,es,PT-PT,0.429,0.543,-0.114,0.004,0.057,-2.086,Negative
shapes,da,el,0.413,0.264,0.149,-0.004,0.074,2.050,Positive
fruits,da,NB,0.657,0.572,0.085,-0.001,0.042,2.044,Positive
music,de,NB,0.580,0.449,0.132,-0.002,0.065,2.040,Positive
fruits,da,pl,0.442,0.289,0.153,-0.000,0.076,2.017,Positive
colors,nl,NB,0.598,0.454,0.143,-0.004,0.073,2.017,Positive
