Topic,CommunityID
animals,0
clothes,0
colors,0
computer,0
desserts,0
food,0
fruits,0
restaurant,0
sports,0
business,1
medical terms,1
occupations,1
school,1
shapes,1
shopping,1
cooking,2
driving,2
transportations,2
weather,2
emotions,3
personal qualities,3
body,4
family,5
furniture,6
house,7
music,8
plants,9
shoes,10
